Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
6605692	820.7	501.2	1089.0	581.3	653.7	1060.0
6605693	820.2	500.6	1088.0	580.7	653.6	1059.0
6605694	819.3	499.8	1088.0	580.1	653.6	1060.0
6605695	819.0	499.1	1089.0	580.1	653.8	1058.0
6605696	819.1	499.1	1089.0	580.0	653.9	1057.0
6605697	819.5	499.5	1089.0	580.0	654.2	1059.0
6605698	820.2	499.8	1089.0	580.1	654.2	1062.0
6605699	820.5	500.0	1090.0	580.1	654.1	1067.0
6605700	820.7	499.6	1090.0	580.6	653.9	1068.0
6605701	820.4	499.9	1090.0	581.0	653.7	1068.0
6605702	820.1	500.3	1091.0	581.7	653.6	1066.0
6605703	820.2	500.7	1094.0	581.9	653.5	1066.0
6605704	820.4	500.7	1097.0	582.1	653.3	1069.0
6605705	820.6	500.3	1098.0	581.9	653.2	1069.0
6605706	820.6	499.9	1098.0	581.6	653.2	1066.0
6605707	820.7	499.8	1098.0	580.8	653.2	1063.0
6605708	820.4	500.2	1098.0	580.2	653.1	1065.0
6605709	820.2	500.7	1096.0	580.0	653.4	1067.0
6605710	819.8	500.1	1090.0	580.4	653.8	1066.0
6605711	819.5	499.4	1085.0	580.8	653.9	1063.0
6605712	819.1	499.5	1082.0	580.8	653.6	1061.0
6605713	819.0	500.3	1082.0	580.8	653.3	1061.0
6605714	819.0	501.1	1084.0	580.8	653.1	1063.0
6605715	819.1	501.0	1086.0	580.3	652.8	1066.0
6605716	819.2	500.8	1088.0	579.8	652.5	1067.0
6605717	819.4	501.2	1089.0	579.8	652.3	1064.0
6605718	819.5	501.9	1089.0	580.3	652.3	1062.0
6605719	819.7	502.7	1091.0	580.7	652.5	1064.0
6605720	820.0	502.8	1092.0	580.7	652.7	1065.0
6605721	820.4	502.7	1092.0	580.5	652.8	1067.0
6605722	820.8	502.6	1090.0	580.3	653.0	1067.0
6605723	820.9	502.6	1089.0	580.2	653.2	1066.0
6605724	820.9	502.7	1088.0	580.1	653.0	1065.0
6605725	820.7	502.8	1088.0	580.0	652.9	1064.0
6605726	820.6	503.0	1089.0	579.9	652.9	1064.0
6605727	820.2	503.2	1091.0	579.9	653.1	1063.0
6605728	819.7	503.4	1091.0	579.9	653.2	1062.0
6605729	819.0	503.5	1091.0	579.9	653.2	1064.0
6605730	818.8	502.8	1090.0	579.9	653.1	1066.0
6605731	818.6	502.0	1089.0	580.2	652.9	1069.0
6605732	818.6	501.2	1088.0	580.4	652.9	1069.0
6605733	818.6	501.2	1088.0	580.7	653.1	1070.0
6605734	819.0	501.6	1089.0	580.6	653.3	1070.0
6605735	819.1	502.3	1091.0	580.6	653.4	1068.0
6605736	819.2	503.0	1092.0	580.5	653.5	1066.0
6605737	819.4	503.3	1093.0	580.6	653.4	1064.0
6605738	819.8	503.8	1093.0	580.7	653.1	1064.0
6605739	820.2	504.3	1093.0	580.6	653.1	1064.0
6605740	820.0	504.6	1094.0	580.2	653.4	1065.0
6605741	819.8	504.3	1095.0	579.7	653.6	1065.0
6605742	819.6	504.0	1095.0	579.4	653.6	1065.0
6605743	819.6	503.8	1095.0	579.4	653.7	1065.0
6605744	819.6	503.4	1095.0	579.5	653.7	1065.0
6605745	819.1	502.9	1093.0	579.5	653.8	1065.0
6605746	818.5	502.4	1090.0	579.5	653.5	1065.0
6605747	817.9	502.3	1088.0	579.4	653.0	1064.0
6605748	817.8	502.5	1089.0	579.5	652.5	1065.0
6605749	818.1	502.8	1089.0	579.9	653.0	1065.0
6605750	818.4	502.1	1090.0	580.2	653.7	1063.0
6605751	818.7	501.3	1090.0	580.6	653.8	1062.0
6605752	818.9	501.0	1090.0	580.6	653.1	1060.0
6605753	819.0	501.7	1091.0	580.5	652.7	1059.0
6605754	819.5	502.4	1091.0	580.4	653.0	1058.0
6605755	820.0	502.4	1090.0	580.3	653.1	1059.0
6605756	820.3	502.6	1091.0	580.3	653.0	1061.0
6605757	820.3	502.7	1091.0	580.9	653.5	1063.0
6605758	820.3	503.2	1091.0	581.5	654.1	1062.0
6605759	820.1	503.5	1091.0	582.1	654.1	1060.0
6605760	820.0	503.0	1091.0	581.8	653.4	1061.0
6605761	819.7	502.2	1092.0	581.6	653.1	1063.0
6605762	819.4	501.4	1093.0	581.4	653.4	1066.0
