Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Dia X [px]	R Dia X [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z
7764316300	316.9570	878.9774	15.9199	749.7214	1144.4666	15.5153	-59.7909	-14.5414	663.9645	4.8710	-19.2832	691.9916	-0.1481	0.1606	-0.9758	-0.0466	0.0493	-0.9977
7764320280	317.3456	878.8764	15.9602	749.4076	1144.8292	15.5961	-59.7908	-14.5414	663.9644	4.8708	-19.2829	691.9925	-0.1438	0.1634	-0.9760	-0.0498	0.0492	-0.9975
7764324272	317.5360	879.0485	15.9313	749.0460	1144.8834	15.5998	-59.7907	-14.5415	663.9634	4.8710	-19.2829	691.9920	-0.1461	0.1625	-0.9758	-0.0498	0.0559	-0.9972
7764328270	317.7270	879.3976	15.9049	749.3953	1144.9955	15.5933	-59.7907	-14.5413	663.9635	4.8709	-19.2830	691.9918	-0.1438	0.1634	-0.9760	-0.0434	0.0479	-0.9979
7764332267	317.4677	879.7300	15.9193	749.7016	1144.9632	15.5483	-59.7905	-14.5413	663.9617	4.8710	-19.2830	691.9918	-0.1482	0.1606	-0.9758	-0.0467	0.0489	-0.9977
7764336269	317.2196	879.7205	15.9101	750.0046	1144.7764	15.5387	-59.7906	-14.5414	663.9615	4.8709	-19.2828	691.9920	-0.1494	0.1632	-0.9752	-0.0434	0.0478	-0.9979
7764340273	317.4221	879.7092	15.9307	750.3029	1144.5964	15.5741	-59.7906	-14.5413	663.9615	4.8709	-19.2830	691.9921	-0.1462	0.1626	-0.9758	-0.0493	0.0505	-0.9975
7764344271	317.6209	879.6963	15.9518	750.6003	1144.5790	15.6027	-59.7907	-14.5413	663.9612	4.8708	-19.2829	691.9918	-0.1435	0.1647	-0.9759	-0.0466	0.0489	-0.9977
7764348268	317.8195	879.5881	15.9309	750.8906	1144.5616	15.5798	-59.7907	-14.5413	663.9617	4.8710	-19.2829	691.9915	-0.1461	0.1625	-0.9758	-0.0478	0.0461	-0.9978
7764352268	318.0172	879.4833	15.8736	751.1490	1144.3935	15.4578	-59.7905	-14.5413	663.9613	4.8708	-19.2829	691.9909	-0.1421	0.1671	-0.9757	-0.0429	0.0492	-0.9979
7764356268	317.9484	879.5706	15.9459	751.3942	1144.2334	15.6066	-59.7905	-14.5413	663.9604	4.8710	-19.2829	691.9905	-0.1482	0.1616	-0.9757	-0.0456	0.0463	-0.9979
7764360267	317.8905	879.8677	15.9490	751.6520	1144.2301	15.5471	-59.7906	-14.5413	663.9609	4.8708	-19.2829	691.9905	-0.1481	0.1606	-0.9758	-0.0489	0.0511	-0.9975
7764364269	317.4952	880.2495	15.9192	752.4641	1144.2249	15.5202	-59.7908	-14.5414	663.9623	4.8708	-19.2829	691.9896	-0.1480	0.1607	-0.9758	-0.0445	0.0491	-0.9978
7764368268	317.1077	880.0578	15.8801	753.2392	1144.2080	15.6457	-59.7905	-14.5415	663.9612	4.8709	-19.2828	691.9892	-0.1491	0.1668	-0.9746	-0.0454	0.0519	-0.9976
7764372267	316.9163	879.8783	15.9361	753.5054	1144.1399	15.6332	-59.7905	-14.5414	663.9611	4.8710	-19.2829	691.9902	-0.1438	0.1634	-0.9760	-0.0460	0.0492	-0.9977
7764376266	317.0593	879.6963	16.0365	754.1237	1144.3477	15.5759	-59.7904	-14.5413	663.9609	4.8709	-19.2830	691.9909	-0.1472	0.1598	-0.9761	-0.0438	0.0480	-0.9979
7764380276	317.1956	879.5208	15.9649	754.7254	1144.5556	15.4987	-59.7906	-14.5413	663.9620	4.8708	-19.2828	691.9899	-0.1485	0.1635	-0.9753	-0.0433	0.0479	-0.9979
7764384270	316.9953	879.6987	15.9143	754.8444	1144.4687	15.5167	-59.7905	-14.5414	663.9614	4.8710	-19.2829	691.9906	-0.1425	0.1609	-0.9766	-0.0469	0.0494	-0.9977
7764388269	316.5965	879.8592	16.0022	754.9749	1144.3816	15.6328	-59.7906	-14.5413	663.9614	4.8708	-19.2830	691.9905	-0.1482	0.1617	-0.9757	-0.0459	0.0493	-0.9977
7764392281	316.2154	880.0178	15.9884	755.0939	1144.2943	15.4584	-59.7903	-14.5413	663.9604	4.8709	-19.2830	691.9908	-0.1489	0.1603	-0.9758	-0.0434	0.0479	-0.9979
7764396273	316.1977	880.0942	15.9518	754.4563	1144.2073	15.6455	-59.7903	-14.5413	663.9590	4.8709	-19.2828	691.9915	-0.1466	0.1621	-0.9758	-0.0483	0.0498	-0.9976
