Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Dia X [px]	R Dia X [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z
2212762793	676.1140	79.5464	16.3753	439.5117	315.0640	16.8960	-63.6266	-7.2283	636.6565	4.5776	-8.4684	615.1963	0.0307	0.4915	-0.8704	-0.1987	0.3949	-0.8970
2212771164	676.6231	80.0398	16.4369	442.5121	314.2598	16.8976	-63.6558	-7.2314	636.9246	4.5742	-8.4677	615.1720	0.0309	0.4846	-0.8742	-0.1917	0.3976	-0.8973
2212779542	675.4789	77.3057	16.4215	442.5402	314.0041	16.6897	-63.6207	-7.2283	636.6044	4.5751	-8.4664	615.1504	0.0250	0.4890	-0.8719	-0.1903	0.3955	-0.8985
2212787800	676.0779	76.9768	16.4395	442.6838	314.4132	16.7231	-63.6510	-7.2313	636.8784	4.5748	-8.4676	615.1313	0.0285	0.4864	-0.8733	-0.1937	0.3946	-0.8982
2212796162	675.8625	77.9573	16.5180	440.7387	313.6993	16.6743	-63.6174	-7.2280	636.5634	4.5757	-8.4642	615.1143	0.0268	0.4828	-0.8753	-0.1960	0.3948	-0.8976
2212804500	675.2447	87.7047	16.6024	440.4755	314.0853	16.7679	-63.5903	-7.2226	636.2838	4.5761	-8.4683	615.0992	0.0231	0.4692	-0.8828	-0.1931	0.3901	-0.9003
2212812936	675.7837	77.2874	16.4764	438.0348	313.2912	16.7450	-63.5644	-7.2204	636.0355	4.5724	-8.4647	615.0858	0.0295	0.4872	-0.8728	-0.2012	0.3965	-0.8957
2212821110	675.7747	83.6342	16.5200	438.2064	312.9703	16.7525	-63.5439	-7.2175	635.8151	4.5741	-8.4662	615.0739	0.0270	0.4768	-0.8786	-0.1953	0.3943	-0.8980
2212829542	675.8110	81.2477	16.6313	439.1981	314.0180	16.7964	-63.5806	-7.2253	636.1777	4.5753	-8.4655	615.0634	0.0296	0.4812	-0.8761	-0.1926	0.3914	-0.8998
2212837934	676.0145	77.6534	16.5178	440.3523	315.0128	16.7436	-63.5587	-7.2206	635.9413	4.5749	-8.4639	615.0540	0.0282	0.4864	-0.8733	-0.1924	0.3903	-0.9003
2212847239	676.1388	83.2899	16.5042	442.5696	314.4820	16.7773	-63.5367	-7.2194	635.7314	4.5747	-8.4647	615.0457	0.0301	0.4784	-0.8776	-0.1871	0.3941	-0.8998
2212854517	676.3334	81.5236	16.4400	442.8100	314.3651	16.6683	-63.5185	-7.2158	635.5452	4.5747	-8.4657	615.0383	0.0307	0.4842	-0.8744	-0.1925	0.3953	-0.8982
2212862916	674.4278	81.7381	16.3034	440.5065	313.9672	16.6892	-63.5566	-7.2219	635.9380	4.5745	-8.4636	615.0317	0.0234	0.4841	-0.8747	-0.1986	0.3972	-0.8960
2212872268	675.1990	82.5676	16.4625	441.2500	314.2988	16.6949	-63.5906	-7.2251	636.2867	4.5745	-8.4670	615.0259	0.0276	0.4841	-0.8746	-0.1923	0.3947	-0.8984
2212879527	674.4672	92.0237	16.6396	440.1031	314.8399	16.7022	-63.5664	-7.2233	636.0381	4.5758	-8.4647	615.0207	0.0256	0.4712	-0.8817	-0.1964	0.3925	-0.8985
2212887927	674.3575	88.5399	16.4597	441.0418	314.7569	16.7974	-63.5434	-7.2204	635.8174	4.5724	-8.4654	615.0161	0.0262	0.4792	-0.8773	-0.1934	0.3945	-0.8983
2212897239	674.9200	83.5039	16.3642	440.5470	313.9659	16.7211	-63.5251	-7.2206	635.6215	4.5725	-8.4648	615.0121	0.0266	0.4859	-0.8736	-0.1947	0.3944	-0.8981
2212904675	675.1383	84.1567	16.5132	442.7765	315.0587	16.8205	-63.5619	-7.2257	636.0058	4.5735	-8.4639	615.0084	0.0295	0.4847	-0.8742	-0.1907	0.3924	-0.8998
2212912929	674.6457	82.1406	16.5422	442.6187	315.7701	16.7327	-63.5950	-7.2275	636.3469	4.5739	-8.4644	615.0052	0.0259	0.4853	-0.8739	-0.1941	0.3913	-0.8995
2212921275	673.8684	80.5680	16.5290	442.0051	314.9320	16.7537	-63.6267	-7.2286	636.6498	4.5737	-8.4654	615.0024	0.0257	0.4862	-0.8735	-0.1951	0.3946	-0.8979
2212929684	673.0990	80.9031	16.5428	441.8913	315.3612	16.6901	-63.5965	-7.2253	636.3605	4.5724	-8.4674	614.9998	0.0247	0.4852	-0.8740	-0.1937	0.3902	-0.9001
2212938070	672.1430	80.1245	16.3322	440.1425	314.8952	16.7191	-63.5699	-7.2249	636.1036	4.5732	-8.4667	614.9976	0.0248	0.4840	-0.8747	-0.1964	0.3946	-0.8976
2212946262	668.1556	131.0200	16.4637	439.1392	314.8395	16.7009	-63.6056	-7.2277	636.4338	4.5740	-8.4680	614.9956	0.0154	0.4535	-0.8911	-0.1973	0.3949	-0.8973
2212954666	669.5780	109.0050	16.7426	440.8009	316.8693	16.8243	-63.6355	-7.2301	636.7269	4.5740	-8.4665	614.9938	0.0246	0.4638	-0.8856	-0.1914	0.3893	-0.9010
2212963078	669.7893	137.5154	17.0127	441.0116	315.9430	16.7695	-63.6039	-7.2282	636.4289	4.5742	-8.4644	614.9923	0.0271	0.4542	-0.8905	-0.1917	0.3966	-0.8977
2212972310	668.8385	137.8346	16.6809	443.3492	316.9594	16.7629	-63.5776	-7.2245	636.1644	4.5737	-8.4628	614.9909	0.0233	0.4573	-0.8890	-0.1870	0.3909	-0.9012
2212979664	667.4063	117.5370	16.6324	444.2598	317.5765	16.7084	-63.6107	-7.2254	636.4877	4.5728	-8.4654	614.9896	0.0210	0.4672	-0.8839	-0.1888	0.3916	-0.9006
2212988045	667.9991	111.1051	16.4936	444.3453	318.9023	16.7215	-63.6378	-7.2291	636.7748	4.5726	-8.4652	614.9885	0.0261	0.4705	-0.8820	-0.1923	0.3893	-0.9008
2212997323	667.9071	93.7079	16.6512	441.4530	317.9825	16.8200	-63.6073	-7.2269	636.4714	4.5737	-8.4652	614.9875	0.0274	0.4801	-0.8768	-0.1999	0.3938	-0.8972
2213004674	667.1144	93.7056	16.3495	442.5910	315.2343	16.8065	-63.5837	-7.2253	636.2021	4.5754	-8.4665	614.9867	0.0236	0.4812	-0.8763	-0.1934	0.4001	-0.8958
2213013054	666.5581	99.7083	16.3138	443.7357	314.6671	16.7484	-63.5574	-7.2242	635.9630	4.5749	-8.4661	614.9859	0.0229	0.4782	-0.8779	-0.1911	0.3982	-0.8972
2213022332	667.5685	124.7097	16.9056	442.2373	316.1594	17.0381	-63.5359	-7.2189	635.7507	4.5725	-8.4650	614.9852	0.0271	0.4637	-0.8856	-0.1965	0.3901	-0.8996
2213029698	665.4822	109.0345	16.2175	444.8202	317.0250	16.7128	-63.5191	-7.2188	635.5623	4.5747	-8.4644	614.9846	0.0191	0.4759	-0.8793	-0.1892	0.3909	-0.9008
2213038049	667.8325	94.3444	16.5290	445.6939	318.2918	16.7553	-63.5569	-7.2205	635.9532	4.5729	-8.4665	614.9841	0.0256	0.4864	-0.8734	-0.1908	0.3900	-0.9008
2213047308	669.2830	94.1089	16.4853	444.6446	318.0347	16.7846	-63.5364	-7.2192	635.7420	4.5743	-8.4681	614.9836	0.0295	0.4828	-0.8752	-0.1941	0.3905	-0.8999
2213054797	670.4537	102.1067	16.6819	443.0030	318.6158	16.5924	-63.5738	-7.2239	636.1128	4.5918	-8.4686	615.5441	0.0308	0.4732	-0.8804	-0.1969	0.3914	-0.8989
2213063179	671.2220	93.5792	16.5365	442.6380	317.1537	16.7134	-63.5482	-7.2194	635.8837	4.5762	-8.4751	615.4808	0.0284	0.4818	-0.8758	-0.1930	0.3948	-0.8983
2213072306	671.1707	87.4933	16.5564	440.9572	317.4438	16.7305	-63.5876	-7.2248	636.2385	4.5761	-8.4732	615.4246	0.0242	0.4869	-0.8731	-0.1960	0.3918	-0.8989
2213079792	672.0237	90.9524	16.5248	442.2098	316.4411	16.6953	-63.5619	-7.2232	635.9953	4.5767	-8.4710	615.3747	0.0279	0.4780	-0.8779	-0.1899	0.3937	-0.8994
2213088171	672.1869	86.6438	16.5865	442.4472	316.8720	16.6946	-63.5372	-7.2165	635.7795	4.5758	-8.4687	615.3304	0.0277	0.4850	-0.8741	-0.1946	0.3925	-0.8989
2213097314	670.6569	85.6454	16.6642	441.8792	317.3801	16.6937	-63.3236	-7.1968	633.9132	4.5764	-8.4685	615.2910	0.0205	0.4862	-0.8736	-0.1955	0.3945	-0.8978
2213104807	671.8065	86.9117	16.5196	442.0525	319.0136	16.7165	-63.4093	-7.2043	634.4892	4.5794	-8.4761	615.8171	0.0256	0.4817	-0.8760	-0.1919	0.3900	-0.9006
2213113189	671.4341	84.7627	16.3354	441.8048	317.2998	16.6863	-63.4604	-7.2104	635.0005	4.5797	-8.4761	615.7231	0.0253	0.4831	-0.8752	-0.1954	0.3961	-0.8972
2213122331	672.8910	81.4957	16.4323	441.7538	316.6748	16.7328	-63.4513	-7.2069	634.8962	4.5780	-8.4731	615.6397	0.0272	0.4875	-0.8727	-0.1915	0.3941	-0.8989
2213129789	673.4000	82.3738	16.4666	442.0176	315.5671	17.0001	-63.4420	-7.2073	634.8037	4.5778	-8.4751	615.5657	0.0279	0.4850	-0.8741	-0.1904	0.3951	-0.8987
2213138077	673.5882	83.4801	16.5896	441.9992	314.8260	16.6512	-63.4915	-7.2151	635.2797	4.5767	-8.4715	615.4999	0.0294	0.4814	-0.8760	-0.1933	0.3943	-0.8984
2213147348	673.1361	81.5049	16.5159	441.2896	314.9711	16.7502	-63.4763	-7.2130	635.1441	4.5777	-8.4718	615.4416	0.0281	0.4839	-0.8747	-0.1981	0.3915	-0.8986
