Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1498591440056079	417.51	676.97	3.80	574.38	902.32	3.75
1498591440059345	414.97	679.30	3.80	575.10	904.31	3.75
1498591440062687	414.62	676.78	3.80	575.10	905.89	3.75
1498591440066044	418.82	675.20	3.81	577.70	904.91	3.75
1498591440069402	415.37	679.72	3.80	575.22	902.88	3.75
1498591440072764	418.71	680.20	3.81	576.51	905.49	3.75
1498591440076047	412.24	680.94	3.80	574.88	904.67	3.75
1498591440079370	419.59	680.49	3.81	576.01	904.27	3.74
1498591440082732	414.75	680.60	3.80	575.79	903.55	3.75
1498591440086086	420.20	677.41	3.80	575.02	906.66	3.75
1498591440089365	417.35	680.18	3.81	575.66	902.39	3.75
1498591440092694	418.41	677.68	3.81	574.13	903.60	3.75
1498591440096055	418.11	680.82	3.81	573.87	903.13	3.74
1498591440099414	418.20	676.57	3.81	573.55	901.70	3.75
1498591440102694	417.35	680.23	3.81	578.77	904.09	3.75
1498591440106024	413.63	679.74	3.81	574.89	904.16	3.75
1498591440109384	414.47	680.44	3.81	575.72	903.05	3.75
1498591440112740	417.37	679.97	3.82	575.62	903.19	3.75
1498591440116100	410.47	677.37	3.81	573.01	903.72	3.75
1498591440119355	420.49	677.63	3.81	572.52	900.20	3.74
1498591440122706	410.70	681.43	3.81	574.66	905.34	3.75
1498591440126056	418.08	678.34	3.81	575.83	901.41	3.74
1498591440129426	417.77	679.66	3.81	573.25	905.16	3.74
1498591440132700	412.16	679.53	3.80	573.34	904.24	3.75
1498591440136031	415.04	681.87	3.80	574.93	905.26	3.75
1498591440139391	417.43	677.34	3.80	574.74	904.98	3.75
1498591440142753	413.10	678.51	3.80	572.10	904.21	3.75
1498591440146033	420.55	677.68	3.81	576.26	904.48	3.75
1498591440149359	420.94	678.44	3.81	575.01	905.55	3.75
1498591440152717	413.40	678.72	3.81	574.50	902.70	3.75
1498591440156081	417.43	679.76	3.80	573.10	903.75	3.75
1498591440159353	414.52	682.24	3.81	574.62	903.96	3.75
1498591440162686	414.57	684.50	3.81	574.76	905.95	3.75
1498591440166039	417.04	680.62	3.80	576.96	903.01	3.75
1498591440169402	414.64	676.61	3.80	574.76	903.19	3.75
1498591440172665	417.26	680.39	3.81	577.00	904.72	3.75
1498591440176019	411.63	680.36	3.80	575.57	906.94	3.75
1498591440179366	419.08	680.92	3.81	575.53	907.59	3.75
1498591440182730	417.71	677.00	3.80	573.73	904.78	3.75
1498591440186090	417.76	679.05	3.81	576.04	903.72	3.75
1498591440189339	417.64	676.48	3.81	578.31	905.96	3.75
1498591440192689	415.93	683.25	3.80	577.14	905.64	3.75
1498591440196057	416.67	678.17	3.80	575.46	902.43	3.75
1498591440199413	410.99	676.01	3.80	577.12	904.13	3.74
1498591440202674	416.46	679.97	3.80	577.55	904.32	3.75
1498591440206020	418.37	678.92	3.81	574.89	904.39	3.75
1498591440209382	413.15	680.85	3.80	576.20	905.00	3.75
1498591440212739	413.61	682.45	3.81	574.24	904.81	3.75
1498591440216010	419.38	679.88	3.82	576.72	903.75	3.75
1498591440219334	414.24	679.73	3.80	576.62	902.36	3.75
1498591440222704	416.93	677.97	3.81	576.30	905.90	3.75
1498591440226068	417.68	679.82	3.81	577.13	904.90	3.75
1498591440229329	415.45	681.19	3.81	574.64	905.55	3.75
1498591440232681	415.21	678.85	3.80	577.76	904.45	3.75
1498591440236029	418.59	675.89	3.81	577.67	904.56	3.75
1498591440239390	417.42	680.21	3.81	573.48	908.32	3.75
1498591440242659	418.03	679.97	3.81	574.66	902.38	3.75
