Time	L POR X [px]	L POR Y [px]	L Diam [mm]	R POR X [px]	R POR Y [px]	R Diam [mm]
1494352004054638	818.48	614.40	3.94	956.44	706.02	3.90
1494352004071334	835.83	611.74	3.95	973.44	705.98	3.90
1494352004087967	834.57	606.74	3.97	966.64	709.16	3.89
1494352004104626	827.55	606.50	3.94	956.93	704.36	3.88
1494352004121334	834.36	607.14	3.95	972.82	699.35	3.89
1494352004137946	827.07	595.66	3.99	966.63	700.96	3.89
1494352004154614	822.31	600.03	3.92	968.08	704.06	3.88
1494352004171316	820.96	601.73	3.96	957.15	716.27	3.91
1494352004187928	820.75	615.93	3.98	955.33	707.46	3.89
1494352004204596	830.20	597.72	3.99	970.69	706.16	3.91
1494352004221295	830.77	601.43	3.99	975.82	700.81	3.90
1494352004237909	829.59	624.61	3.95	972.04	704.13	3.87
1494352004254576	837.18	611.72	3.95	967.83	704.61	3.89
1494352004271208	822.93	617.89	3.94	958.52	701.63	3.89
1494352004287889	818.88	613.60	3.94	958.96	704.50	3.88
1494352004304557	837.39	613.45	3.95	956.09	705.62	3.91
1494352004321211	836.34	611.65	3.93	967.25	698.54	3.89
1494352004337867	835.35	613.13	3.93	957.78	709.90	3.88
1494352004354537	821.27	615.00	3.93	961.49	715.73	3.88
1494352004371190	828.53	621.05	3.97	966.17	710.94	3.88
1494352004387852	827.57	617.07	3.98	964.64	713.48	3.88
1494352004404518	824.78	614.43	3.95	959.69	707.79	3.88
1494352004421150	824.46	618.43	3.94	964.27	714.80	3.91
1494352004437838	830.21	616.05	3.95	960.96	713.30	3.89
1494352004454499	819.64	619.40	3.96	961.50	711.03	3.89
1494352004471126	827.12	596.85	3.93	953.76	710.36	3.89
1494352004487818	843.70	611.82	3.93	955.99	716.44	3.89
1494352004504472	822.04	616.11	3.95	960.95	709.13	3.88
1494352004521133	821.30	617.24	3.94	961.86	710.77	3.88
1494352004538128	825.07	615.03	3.97	959.42	716.24	3.90
1494352004554761	824.27	596.17	3.94	963.70	708.37	3.89
1494352004571455	827.49	601.45	3.96	966.60	703.06	3.89
1494352004588124	831.51	605.34	3.96	975.58	705.11	3.87
1494352004604789	825.44	605.26	3.96	970.81	706.72	3.87
1494352004621448	823.12	603.12	3.96	972.43	702.37	3.87
1494352004638111	824.88	604.21	3.94	967.19	709.97	3.89
1494352004654783	829.60	606.73	3.95	975.34	709.11	3.88
1494352004671449	832.33	622.30	3.95	973.85	708.91	3.89
1494352004688108	828.46	622.96	3.98	970.44	705.87	3.87
1494352004704773	827.45	606.12	3.96	967.61	707.74	3.88
1494352004721445	830.23	606.40	3.98	973.38	708.28	3.88
1494352004738102	831.27	606.84	3.96	972.84	713.56	3.87
1494352004754768	831.25	605.90	3.97	973.98	704.13	3.85
1494352004771440	833.60	604.54	3.96	975.96	697.40	3.86
1494352004788076	814.23	611.19	3.95	955.70	703.58	3.88
1494352004804770	821.46	614.10	3.94	958.16	701.02	3.88
1494352004821428	827.94	602.87	3.95	972.12	702.00	3.88
1494352004838094	830.40	606.21	3.96	970.93	700.05	3.88
1494352004854765	824.22	610.99	3.93	959.63	710.26	3.91
1494352004871402	820.86	614.01	3.92	957.78	703.22	3.90
1494352004888080	824.66	601.94	3.96	963.12	696.28	3.90
1494352004904754	NaN	NaN	NaN	968.58	697.41	3.89
1494352004921427	822.81	590.30	3.94	962.90	703.95	3.88
1494352004938092	826.43	599.14	3.98	959.18	730.43	3.98
1494352004954752	823.46	599.19	3.96	955.68	735.03	3.99
1494352004971418	826.38	609.79	3.93	954.07	737.80	4.02
1494352004988081	823.28	605.07	3.95	951.69	733.34	3.97
1494352005004752	826.76	603.72	3.97	956.34	745.04	4.01
1494352005021387	834.97	608.64	3.98	963.41	730.11	3.97
1494352005038042	842.35	617.26	3.95	970.22	721.80	3.96
1494352005054711	812.33	612.59	3.96	958.54	723.72	3.96
1494352005071357	837.36	612.12	3.96	970.76	725.51	3.95
1494352005088040	832.56	606.90	3.97	969.79	723.86	3.95
1494352005104708	832.28	605.16	3.95	974.36	711.54	3.91
1494352005121379	834.05	607.94	3.95	974.87	702.10	3.87
1494352005138034	816.01	606.78	4.00	961.95	723.97	3.96
1494352005154703	823.27	617.81	3.93	958.47	714.47	3.95
1494352005171368	819.61	604.26	3.95	958.38	735.18	3.96
1494352005188032	826.79	614.43	3.95	956.69	741.65	3.99
1494352005204703	833.29	611.21	3.96	963.90	722.93	3.93
1494352005221361	832.72	609.84	3.97	973.69	725.78	3.94
1494352005238025	830.63	605.15	3.99	975.09	724.28	3.95
1494352005254684	820.13	608.28	3.95	952.21	722.10	3.93
1494352005271354	827.71	603.76	3.93	955.30	711.05	3.92
1494352005288018	825.57	598.49	3.96	955.01	728.97	3.98
1494352005304690	828.54	603.87	3.95	955.15	727.02	3.96
1494352005321351	827.01	603.46	3.95	954.07	712.75	3.95
1494352005338005	823.66	600.16	3.96	956.72	721.42	3.93
1494352005354682	827.59	602.59	3.95	957.26	718.06	3.95
1494352005371333	827.70	610.97	3.99	955.39	735.03	4.03
1494352005388012	831.49	602.20	3.96	961.83	727.03	3.99
1494352005404669	833.13	604.15	3.99	968.07	714.65	3.96
1494352005421341	826.17	613.32	3.99	972.63	717.27	3.93
1494352005438006	831.92	604.41	4.00	975.45	720.53	3.92
1494352005454676	829.51	603.41	3.90	972.20	712.86	3.94
1494352005471325	832.02	610.79	3.95	971.12	734.43	3.97
1494352005487991	834.85	610.51	3.96	973.59	720.44	3.94
1494352005504669	834.36	606.84	3.95	963.59	731.97	3.97
1494352005521321	836.65	612.67	3.97	977.93	711.80	3.92
1494352005537985	836.89	607.32	3.96	970.11	731.53	3.96
1494352005554696	832.20	616.48	3.96	978.46	700.12	3.88
1494352005571321	833.05	605.41	3.97	977.94	710.94	3.93
1494352005587974	832.62	609.60	3.96	969.83	736.57	3.98
1494352005604648	834.82	608.54	3.96	973.64	707.35	3.88
1494352005621295	828.81	607.25	3.98	974.99	718.22	3.93
1494352005637956	832.93	611.80	3.98	978.37	726.64	3.95
1494352005654624	830.99	613.45	4.01	968.97	711.26	3.91
1494352005671257	825.90	614.99	3.97	968.15	723.09	3.95
1494352005687939	827.72	615.12	3.97	967.40	731.78	4.03
1494352005704615	827.07	613.94	3.97	961.53	737.30	3.97
1494352005721262	831.66	607.55	3.97	975.44	717.86	3.92
1494352005737928	836.97	610.31	3.99	969.40	715.80	3.93
1494352005754607	828.77	614.93	3.96	975.41	716.55	3.93
1494352005771251	824.93	614.33	3.94	965.73	698.29	3.88
1494352005787910	825.69	614.94	3.94	964.49	704.32	3.91
1494352005804619	828.13	617.32	3.96	963.70	702.38	3.93
1494352005821227	826.58	611.89	3.96	968.84	718.42	3.94
1494352005837894	829.97	614.51	3.98	971.09	717.21	3.93
1494352005854593	828.37	610.16	3.98	965.76	749.67	4.04
1494352005871216	823.22	603.00	3.96	969.49	716.37	3.94
1494352005887876	830.99	614.38	3.96	967.44	699.43	3.88
1494352005904582	828.70	616.70	3.96	960.74	727.64	3.99
1494352005921198	833.01	614.02	3.99	966.63	726.74	3.99
1494352005937860	833.25	612.19	3.97	976.38	700.09	3.90
1494352005954566	829.00	612.50	3.96	966.32	719.96	3.94
1494352005971182	831.26	608.01	3.96	968.80	706.09	3.90
1494352005987835	832.30	610.74	3.98	968.32	705.35	3.91
1494352006004496	827.62	612.00	3.97	961.92	734.56	4.00
1494352006021153	831.20	611.16	3.99	966.12	700.53	3.93
1494352006037807	828.60	606.61	3.95	968.25	721.20	3.94
1494352006054815	829.73	611.05	3.98	970.67	711.96	3.95
1494352006071486	830.01	611.33	3.97	971.62	710.31	3.95
1494352006088151	827.16	612.36	3.98	966.96	712.33	3.96
1494352006104824	829.67	610.60	3.99	970.58	719.68	3.93
1494352006121491	827.58	603.99	3.93	971.35	714.36	3.93
1494352006138158	829.42	599.65	3.94	970.91	721.08	3.93
1494352006154798	831.42	611.38	3.98	974.91	711.68	3.94
1494352006171485	830.57	615.72	3.96	965.15	711.71	3.91
1494352006188149	822.63	615.89	3.96	973.01	699.28	3.90
1494352006204809	832.84	603.03	3.98	965.17	715.01	3.98
1494352006221491	825.83	606.21	3.96	975.24	699.77	3.87
1494352006238160	830.83	611.84	3.99	972.40	700.33	3.90
1494352006254821	831.08	609.73	3.97	977.82	707.42	3.89
1494352006271494	828.90	610.07	3.99	961.98	746.14	4.03
1494352006288161	833.42	608.39	3.98	970.95	717.52	3.93
1494352006304821	836.31	612.24	3.98	973.32	723.87	3.97
1494352006321494	828.35	611.16	3.96	971.81	716.22	3.94
1494352006338160	830.87	615.41	3.96	964.50	735.32	3.99
1494352006354821	825.50	607.92	3.97	969.10	714.25	3.94
1494352006371495	830.50	603.69	3.95	958.99	729.59	3.95
1494352006388157	831.17	610.28	3.97	968.91	716.18	3.95
1494352006404827	831.98	610.29	3.96	963.77	721.54	3.97
1494352006421483	832.11	609.19	3.98	971.59	731.00	3.97
1494352006438155	828.00	612.49	3.95	970.88	714.60	3.94
1494352006454815	828.15	612.06	3.97	969.25	720.68	3.94
1494352006471486	831.11	619.01	3.99	969.78	716.03	3.93
1494352006488150	830.72	608.80	3.96	971.24	719.74	3.93
1494352006504822	832.97	616.81	3.96	968.96	718.82	3.94
1494352006521489	834.13	616.12	3.98	965.69	733.54	3.98
1494352006538154	835.53	609.94	3.95	975.95	717.47	3.92
1494352006554800	825.12	613.15	3.95	961.39	714.88	3.93
1494352006571328	824.84	614.80	3.97	960.94	712.57	3.93
1494352006588016	829.39	621.70	3.96	952.86	731.83	3.95
1494352006604680	828.97	618.01	3.95	953.53	713.44	3.94
