Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Diam [px]	R Diam [px]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z
3079985172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080001839	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080018507	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080035151	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080051817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080068483	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080085149	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080101815	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080115141	NaN	NaN	674.0924	839.7563	NaN	4.9729	NaN	NaN	NaN	58.7686	-25.5780	598.5903	NaN	NaN	NaN	-0.2168	0.1638	-0.9624
3080131929	NaN	NaN	730.6379	779.0377	NaN	4.9680	NaN	NaN	NaN	58.7709	-25.5658	598.5904	NaN	NaN	NaN	-0.1935	0.1910	-0.9623
3080148594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080165259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080181925	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080198590	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080215255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080231920	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080248585	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080265251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080281916	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080298581	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080315246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080331911	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080348577	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080365242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080381907	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080398572	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080415238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080431900	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080448561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080458062	NaN	NaN	901.1223	777.4205	NaN	4.5158	NaN	NaN	NaN	58.9834	-25.0671	598.8152	NaN	NaN	NaN	-0.1187	0.1931	-0.9740
3080475621	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080492286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080508950	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080525614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3080527810	NaN	NaN	964.0010	599.0715	NaN	4.5949	NaN	NaN	NaN	58.6738	-24.9740	598.8604	NaN	NaN	NaN	-0.0908	0.2723	-0.9579
3080545841	974.5966	512.1517	859.4781	537.1636	4.8581	4.4985	-3.7739	-31.6490	607.3843	58.8154	-24.8900	598.8217	0.0195	0.3175	-0.9480	-0.1385	0.2977	-0.9445
3080563550	931.3988	542.3859	902.9265	563.5318	4.5645	4.5508	-3.7632	-31.4464	607.3946	58.7874	-24.8249	599.6664	-0.0001	0.3042	-0.9526	-0.1187	0.2865	-0.9507
3080581420	926.7534	514.6452	826.9949	514.5569	4.6169	4.7753	-3.7798	-31.1972	607.6020	58.8205	-24.7192	599.6672	-0.0022	0.3157	-0.9488	-0.1529	0.3062	-0.9396
3080599272	939.9119	536.6703	893.6375	542.2250	4.8584	4.6083	-3.7755	-30.9979	607.6113	58.8099	-24.6535	600.3254	0.0038	0.3059	-0.9521	-0.1228	0.2951	-0.9476
3080617849	929.3656	546.4294	908.4778	467.1389	4.5474	4.5799	-3.7995	-30.7696	607.6295	58.7411	-24.5802	600.2855	-0.0010	0.3013	-0.9535	-0.1161	0.3278	-0.9376
3080635394	929.4814	560.8180	915.6798	545.2228	4.5303	4.5935	-3.8449	-30.5548	607.6502	58.7017	-24.5221	600.7174	-0.0009	0.2948	-0.9556	-0.1126	0.2937	-0.9492
3080653436	916.1089	551.2225	908.2793	552.6482	4.5143	4.5568	-3.8996	-30.3114	607.6805	58.6631	-24.4668	601.2006	-0.0068	0.2985	-0.9544	-0.1158	0.2901	-0.9500
3080671097	933.3235	559.7189	920.6617	544.8610	4.5280	4.5283	-3.9519	-30.0880	607.7150	58.6281	-24.4086	601.5550	0.0011	0.2945	-0.9556	-0.1101	0.2934	-0.9496
3080688976	942.4587	576.6512	828.5168	507.6665	4.5614	4.6488	-4.1063	-29.9756	609.1510	58.6580	-24.3718	601.5521	0.0055	0.2863	-0.9581	-0.1516	0.3078	-0.9393
3080706700	940.7614	560.0286	873.2629	523.9567	4.5095	4.5946	-4.1385	-29.8246	609.4430	58.6541	-24.3887	602.1758	0.0048	0.2932	-0.9561	-0.1314	0.3014	-0.9444
3080723335	926.3806	547.0792	901.8659	551.3174	4.5391	4.4778	-4.1393	-29.6680	609.4482	58.6487	-24.3527	602.5905	-0.0018	0.2985	-0.9544	-0.1184	0.2897	-0.9498
3080739992	930.9980	520.1550	842.8787	513.9808	4.4418	4.7452	-4.2404	-29.4906	609.8049	58.5911	-24.2799	602.5894	0.0005	0.3097	-0.9508	-0.1448	0.3048	-0.9414
3080756662	930.1919	577.7143	881.9763	541.1631	4.5072	4.4169	-4.2773	-29.3683	610.2091	58.5683	-24.2948	603.1250	0.0002	0.2845	-0.9587	-0.1271	0.2935	-0.9475
3080773382	924.1988	551.6860	847.9493	511.8428	4.4720	4.6012	-4.4329	-29.2614	610.3111	58.4358	-24.3268	603.5546	-0.0023	0.2955	-0.9553	-0.1421	0.3054	-0.9416
3080789999	926.2586	546.0775	849.6968	524.3877	4.5220	4.5720	-4.6076	-29.1500	610.4188	58.2764	-24.3526	603.8402	-0.0010	0.2977	-0.9547	-0.1410	0.2999	-0.9435
3080806666	918.1466	542.3871	887.0548	537.1689	4.4978	4.3919	-4.8061	-29.0360	610.8082	58.1173	-24.3654	604.1537	-0.0044	0.2989	-0.9543	-0.1239	0.2950	-0.9474
3080823333	925.6298	544.4217	863.9168	535.2287	4.4899	4.4155	-4.9790	-28.8701	611.0782	57.9821	-24.3184	604.5962	-0.0007	0.2977	-0.9547	-0.1340	0.2951	-0.9460
3080840010	924.1213	547.1689	838.1213	510.7470	4.4958	4.6210	-5.1015	-28.6825	611.4348	57.8930	-24.2259	604.9960	-0.0012	0.2960	-0.9552	-0.1453	0.3049	-0.9412
3080856662	948.4895	552.7365	891.4254	526.1328	4.5141	4.5648	-5.1250	-28.5311	611.5108	57.8305	-24.1681	605.3463	0.0099	0.2934	-0.9559	-0.1213	0.2990	-0.9465
3080873335	929.4721	543.7859	859.3585	518.6810	4.5247	4.5610	-5.2442	-28.4224	611.8518	57.7551	-24.1087	605.7833	0.0015	0.2969	-0.9549	-0.1354	0.3013	-0.9439
3080889996	925.2939	544.1965	855.7188	515.1835	4.4852	4.6947	-5.3888	-28.2978	611.9958	57.6345	-24.0470	606.0663	-0.0002	0.2965	-0.9550	-0.1368	0.3025	-0.9433
3080906666	965.5515	542.0787	861.9872	524.5815	4.7642	4.5946	-5.5461	-28.1916	612.1664	57.4808	-23.9430	606.3177	0.0183	0.2971	-0.9547	-0.1337	0.2983	-0.9451
3080923332	938.7544	556.9355	851.9293	505.6390	4.5785	4.6517	-5.7543	-28.0612	612.5152	57.2956	-23.7969	606.7231	0.0065	0.2904	-0.9569	-0.1378	0.3059	-0.9420
3080939998	930.0599	554.8001	894.1517	537.7897	4.5406	4.4293	-5.9789	-27.9910	612.7070	57.0411	-23.6612	606.9631	0.0030	0.2911	-0.9567	-0.1185	0.2925	-0.9489
3080956670	934.2109	551.1970	860.3137	510.1604	4.5489	4.7444	-6.2776	-27.9467	612.8140	56.7484	-23.5534	607.1061	0.0053	0.2925	-0.9562	-0.1331	0.3036	-0.9435
